,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
111,GNL,"Global Net Lease, Inc.",1.77B,0.26%,1927641,515.07M
112,IVT,InvenTrust Properties Corp.,1.71B,-0.04%,223061,258.68M
113,CXW,"CoreCivic, Inc.",1.67B,-1.55%,1022250,1.90B
114,ROIC,Retail Opportunity Investments Corp.,1.66B,-0.99%,1206200,327.73M
115,AAT,"American Assets Trust, Inc.",1.63B,0.66%,186406,441.16M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.62B,-1.05%,595728,1.03B
117,JBGS,JBG SMITH Properties,1.60B,-0.64%,449896,604.20M
118,NXRT,"NexPoint Residential Trust, Inc.",1.58B,-0.52%,139263,277.53M
119,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.57B,-0.54%,566035,344.59M
120,UNIT,Uniti Group Inc.,1.55B,-4.15%,2380011,1.15B
121,VRE,"Veris Residential, Inc.",1.54B,-2.37%,387168,279.86M
122,RC,Ready Capital Corporation,1.53B,0.57%,772123,630.58M
123,SAFE,Safehold Inc.,1.48B,-1.92%,142720,352.58M
124,GTY,Getty Realty Corp.,1.48B,-0.37%,111160,186.42M
125,LTC,"LTC Properties, Inc.",1.39B,0.31%,170975,197.24M
126,LADR,Ladder Capital Corp,1.39B,0.73%,325242,264.21M
127,CMTG,"Claros Mortgage Trust, Inc.",1.36B,-0.20%,186514,306.55M
128,TWO,Two Harbors Investment Corp.,1.33B,0.39%,932585,31.79M
129,BFS,"Saul Centers, Inc.",1.30B,0.28%,45980,257.21M
130,NTST,NETSTREIT Corp.,1.29B,-0.74%,500259,131.91M
131,MMI,"Marcus & Millichap, Inc.",1.29B,-1.73%,284691,645.93M
132,PMT,PennyMac Mortgage Investment Trust,1.24B,0.56%,293121,429.02M
133,DEA,"Easterly Government Properties, Inc.",1.21B,-0.94%,499999,287.23M
134,ALEX,"Alexander & Baldwin, Inc.",1.20B,-0.72%,265574,208.90M
135,ELME,Elme Communities,1.19B,-0.73%,362324,227.91M
136,AHR,"American Healthcare REIT, Inc.",1.16B,-0.22%,451474,1.84B
137,MFA,"MFA Financial, Inc.",1.15B,1.60%,629658,248.45M
138,UMH,"UMH Properties, Inc.",1.13B,-,204692,220.93M
139,KW,"Kennedy-Wilson Holdings, Inc.",1.13B,-0.72%,1992016,562.60M
140,AIV,Apartment Investment and Management Company,1.12B,-2.07%,968603,187.00M
141,ALX,"Alexander's, Inc.",1.10B,-0.52%,5379,224.96M
142,PGRE,"Paramount Group, Inc.",1.10B,-1.28%,484539,742.79M
143,CIM,Chimera Investment Corporation,1.09B,0.44%,1259510,252.64M
144,SVC,Service Properties Trust,1.06B,-0.62%,1193622,1.87B
145,FBRT,"Franklin BSP Realty Trust, Inc.",1.06B,0.39%,255504,263.95M
146,PLYM,"Plymouth Industrial REIT, Inc.",997.26M,-0.41%,176942,199.85M
147,EFC,Ellington Financial Inc.,976.57M,0.88%,590227,276.92M
148,HPP,"Hudson Pacific Properties, Inc.",962.82M,-1.50%,1536386,952.30M
149,ARR,"ARMOUR Residential REIT, Inc.",959.88M,0.41%,1018332,-86.22M
150,AHH,"Armada Hoffler Properties, Inc.",946.09M,-1.49%,258791,667.16M
151,CSR,Centerspace,899.63M,-0.53%,47524,261.31M
152,BRSP,"BrightSpire Capital, Inc.",885.20M,1.17%,569434,232.72M
153,RDFN,Redfin Corporation,853.77M,-1.12%,3723023,976.67M
154,RWT,"Redwood Trust, Inc.",814.46M,-0.32%,1375887,165.63M
155,PDM,"Piedmont Office Realty Trust, Inc.",791.09M,-,399426,577.76M
156,BDN,Brandywine Realty Trust,772.22M,-1.34%,1007533,514.65M
157,CHCT,Community Healthcare Trust Incorporated,745.04M,-0.22%,92921,112.85M
158,CBL,"CBL & Associates Properties, Inc.",742.61M,-1.22%,66231,535.29M
159,DX,"Dynex Capital, Inc.",737.07M,0.64%,681307,26.75M
160,KREF,KKR Real Estate Finance Trust Inc.,705.27M,0.10%,371151,202.81M
161,INN,"Summit Hotel Properties, Inc.",692.90M,-0.78%,615626,736.13M
162,NYMT,"New York Mortgage Trust, Inc.",663.28M,-,408295,198.87M
163,HOUS,Anywhere Real Estate Inc.,657.41M,1.01%,705097,5.64B
