,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
131,LOMA,Loma Negra Compañía Industrial Argentina SA,929.10M,0.60%,206787,822.75M
132,PRM,"Perimeter Solutions, SA",923.95M,-0.47%,393797,322.11M
133,NEXA,Nexa Resources S.A.,900.59M,2.50%,13924,2.57B
134,SILV,SilverCrest Metals Inc.,896.72M,0.66%,2383390,245.13M
135,NG,NovaGold Resources Inc.,890.98M,-6.42%,2157388,-
136,MTUS,Metallus Inc,889.20M,-1.43%,242595,1.36B
137,SSRM,SSR Mining Inc.,887.49M,-5.50%,4953702,1.43B
138,CMP,"Compass Minerals International, Inc.",870.43M,-0.90%,252787,1.19B
139,METC,"Ramaco Resources, Inc.",869.96M,-10.27%,1537693,626.02M
140,GSM,Ferroglobe PLC,833.14M,1.62%,1168274,1.65B
141,ASTL,Algoma Steel Group Inc.,805.25M,0.65%,501401,2.14B
142,LAAC,Lithium Americas (Argentina) Corp.,802.50M,-2.34%,1087277,-
143,WLKP,Westlake Chemical Partners LP,794.39M,1.80%,15584,1.19B
144,BIOX,Bioceres Crop Solutions Corp.,793.47M,-1.30%,22125,450.32M
145,REX,REX American Resources Corporation,766.31M,-0.55%,50892,845.94M
146,DRD,DRDGOLD Limited,724.52M,-3.12%,337403,16.91M
147,ZEUS,"Olympic Steel, Inc.",723.39M,1.03%,72159,2.16B
148,ASIX,AdvanSix Inc.,721.70M,-1.14%,55349,1.53B
149,LVRO,Lavoro Limited,705.48M,-4.48%,5767,1.90B
150,UAN,"CVR Partners, LP",697.35M,-0.35%,25796,681.48M
151,MERC,Mercer International Inc.,677.22M,-4.62%,148584,1.99B
152,CLW,Clearwater Paper Corporation,674.19M,-1.54%,148230,2.08B
153,NFGC,New Found Gold Corp.,670.87M,-,280630,-
154,METCB,"Ramaco Resources, Inc.",583.28M,-3.16%,15672,626.02M
155,LXU,"LSB Industries, Inc.",546.74M,-1.47%,341155,593.71M
