,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
884,FUSB,"First US Bancshares, Inc.",59.47M,-0.41%,1912,39.99M
885,HAIA,Healthcare AI Acquisition Corp.,59.35M,-1.00%,132,-
886,BHM,"Bluerock Homes Trust, Inc.",58.78M,-4.29%,5224,40.31M
887,ESAC,ESGEN Acquisition Corporation,57.52M,-6.67%,4331,-
888,AAME,Atlantic American Corporation,56.31M,0.37%,1875,185.28M
889,IROQ,"IF Bancorp, Inc.",56.03M,-0.16%,150,22.35M
890,CLST,"Catalyst Bancorp, Inc.",55.95M,0.09%,3956,8.96M
891,CCTS,Cactus Acquisition Corp. 1 Limited,55.82M,0.46%,3469,-
892,HHGC,HHG Capital Corporation,55.20M,0.09%,1605,-
893,PEPL,PepperLime Health Acquisition Corporation,55.15M,0.28%,2298,-
894,BRBS,"Blue Ridge Bankshares, Inc.",54.33M,-7.42%,125251,109.48M
895,RACY,Relativity Acquisition Corp.,54.04M,-,46424,-
896,PLTN,Plutonian Acquisition Corp.,53.76M,-0.06%,1289,-
897,BAFN,BayFirst Financial Corp.,53.44M,-0.79%,2320,71.19M
898,BYFC,Broadway Financial Corporation,52.89M,-0.53%,4875,32.11M
899,BRAC,Broad Capital Acquisition Corp.,52.83M,0.36%,117441,-
900,SDIG,"Stronghold Digital Mining, Inc.",52.68M,-5.41%,359164,74.97M
901,APAC,StoneBridge Acquisition Corporation,52.58M,8.12%,2350,-
902,HNNA,"Hennessy Advisors, Inc.",52.50M,-0.74%,5171,24.02M
903,CLRC,ClimateRock,52.38M,0.18%,2000,-
904,BOTJ,"Bank of the James Financial Group, Inc.",51.29M,-1.07%,636,43.33M
905,NSTS,"NSTS Bancorp, Inc.",50.34M,-0.74%,2455,7.10M
906,BREZ,Breeze Holdings Acquisition Corp.,50.30M,0.09%,1657,-
907,NICK,"Nicholas Financial, Inc.",50.15M,-0.58%,2688,27.06M
908,ICMB,"Investcorp Credit Management BDC, Inc.",50.10M,-1.15%,72201,25.75M
909,CFSB,"CFSB Bancorp, Inc.",49.70M,-1.21%,428,8.41M
910,AQU,Aquaron Acquisition Corp.,49.31M,-,49,-
911,VSAC,Vision Sensing Acquisition Corp.,48.82M,-0.80%,1,-
912,ICCH,"ICC Holdings, Inc.",48.65M,3.33%,3026,81.12M
913,WTMA,Welsbach Technology Metals Acquisition Corp.,48.58M,-0.05%,377,-
914,MARX,Mars Acquisition Corp.,47.69M,0.28%,211,-
915,HUDA,Hudson Acquisition I Corp.,47.34M,0.10%,10487,-
916,AOGO,Arogo Capital Acquisition Corp.,47.15M,-,105,-
917,SHFS,"SHF Holdings, Inc.",46.56M,0.18%,71960,16.66M
918,WINV,WinVest Acquisition Corp.,45.96M,-,917,-
919,ASRV,"AmeriServ Financial, Inc.",44.93M,-4.21%,19678,53.41M
920,INTE,Integral Acquisition Corporation 1,44.07M,0.09%,2222,-
921,ASCA,A SPAC I Acquisition Corp.,43.79M,2.17%,13292,-
922,YOTA,Yotta Acquisition Corporation,43.39M,4.66%,23,-
923,TURN,180 Degree Capital Corp.,43.30M,0.70%,10841,-7.89M
924,TCBS,"Texas Community Bancshares, Inc.",43.29M,1.12%,694,10.93M
925,KACL,Kairous Acquisition Corp. Limited,43.17M,-,100,-
926,MACA,Moringa Acquisition Corp,43.00M,-0.09%,604,-
927,FSEA,First Seacoast Bancorp,42.86M,-1.30%,1572,13.62M
928,GROW,"U.S. Global Investors, Inc.",42.27M,-0.38%,56653,12.89M
929,CPBI,"Central Plains Bancshares, Inc.",42.22M,-0.29%,5822,-
930,BCOW,"1895 Bancorp of Wisconsin, Inc.",42.16M,-,7391,13.76M
931,PBM,Psyence Biomedical Ltd.,42.09M,-30.51%,3068640,-
932,ACBA,Ace Global Business Acquisition Limited,41.97M,0.25%,609,-
933,DHAC,Digital Health Acquisition Corp.,41.81M,0.44%,2313,-
934,FGF,Fundamental Global Inc.,41.76M,2.08%,35537,24.80M
935,AIB,AIB Acquisition Corporation,41.72M,-1.20%,476,-
936,MCAF,Mountain Crest Acquisition Corp. IV,41.36M,5.85%,2307,-
937,ADRT,Ault Disruptive Technologies Corporation,41.12M,0.22%,847,-
938,OTEC,OceanTech Acquisitions I Corp.,41.10M,0.43%,14149,-
939,TGVC,TG Venture Acquisition Corp.,40.62M,-2.70%,8032,-
940,HFBL,"Home Federal Bancorp, Inc. of Louisiana",40.59M,0.82%,864,22.41M
941,MGLD,"The Marygold Companies, Inc.",40.22M,-1.95%,6948,33.87M
942,KINS,"Kingstone Companies, Inc.",40.19M,2.15%,36197,144.68M
943,QOMO,Qomolangma Acquisition Corp.,38.94M,-0.55%,198,-
944,HYW,Hywin Holdings Ltd.,38.92M,-2.16%,3721,288.92M
945,NOVV,Nova Vision Acquisition Corporation,38.06M,0.26%,100,-
946,DECA,Denali Capital Acquisition Corp.,37.62M,-1.58%,56852,-
947,WAVS,Western Acquisition Ventures Corp.,37.52M,-,100,-
948,RAND,Rand Capital Corporation,35.80M,0.98%,4612,7.34M
949,PBBK,"PB Bankshares, Inc.",35.70M,-2.67%,2094,12.95M
950,GREE,Greenidge Generation Holdings Inc.,35.62M,-7.03%,323698,42.37M
951,OPHC,"OptimumBank Holdings, Inc.",35.32M,-0.67%,3340,23.12M
952,AVHI,Achari Ventures Holdings Corp. I,34.78M,-,5,-
953,MCAG,Mountain Crest Acquisition Corp. V,34.24M,0.09%,100,-
954,HUIZ,Huize Holding Limited,33.40M,14.88%,90936,1.22B
955,ADOC,Edoc Acquisition Corp.,33.05M,-1.23%,1725,-
956,KFFB,Kentucky First Federal Bancorp,31.78M,5.40%,7006,7.54M
957,FUFU,BitFuFu Inc.,31.09M,-16.61%,114839,250.64M
958,BTM,Bitcoin Depot Inc.,30.22M,-0.40%,55252,1.19B
