,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
213,PAVS,Paranovus Entertainment Technology Ltd.,13.94M,-6.00%,2039,51.46M
214,EEIQ,EpicQuest Education Group International Limited,12.70M,-0.99%,891,5.71M
215,GSUN,Golden Sun Education Group Limited,12.41M,-25.82%,394863,6.16M
216,PETZ,"TDH Holdings, Inc.",12.18M,-,34712,3.20M
217,TKLF,"Yoshitsu Co., Ltd",11.82M,-6.79%,74716,166.27M
218,VINE,"Fresh Vine Wine, Inc.",11.53M,-6.04%,64823,1.83M
219,BOF,BranchOut Food Inc.,9.63M,-3.36%,23919,1.37M
220,GV,Visionary Education Technology Holdings Group Inc.,9.45M,-4.81%,56225,8.43M
221,LSF,"Laird Superfood, Inc.",8.42M,10.83%,137080,33.99M
222,WAFU,Wah Fu Education Group Limited,8.25M,2.14%,15510,10.69M
223,AQB,"AquaBounty Technologies, Inc.",8.23M,-3.26%,42344,2.37M
224,LQR,LQR House Inc.,8.07M,1.27%,91656,880.44K
225,BTCT,BTC Digital Ltd.,7.59M,-0.56%,15049,-20.57M
226,JVA,"Coffee Holding Co., Inc.",7.54M,7.25%,75923,68.17M
227,BON,Bon Natural Life Limited,6.24M,-1.90%,29758,29.52M
228,BRSH,Bruush Oral Care Inc.,6.15M,-14.12%,7033009,-
229,KAVL,"Kaival Brands Innovations Group, Inc.",6.06M,1.22%,7452,13.09M
230,FAMI,"Farmmi, Inc.",5.94M,-6.64%,129935,110.36M
231,XXII,"22nd Century Group, Inc.",5.91M,-4.44%,1264747,82.41M
232,BTTR,Better Choice Company Inc.,4.28M,5.84%,662318,42.16M
233,SNAX,"Stryve Foods, Inc.",3.56M,0.79%,10076,20.23M
234,CLEU,China Liberal Education Holdings Limited,3.50M,1.46%,78921,17.89M
235,TANH,Tantech Holdings Ltd,2.35M,10.10%,146393,46.21M
236,EDBL,Edible Garden AG Incorporated,2.20M,-10.65%,71041,13.04M
237,EAST,"Eastside Distilling, Inc.",1.92M,-1.27%,64720,10.81M
238,NUZE,"NuZee, Inc.",1.83M,-,19781,3.35M
239,GNLN,"Greenlane Holdings, Inc.",1.83M,8.67%,116460,77.34M
240,BSFC,Blue Star Foods Corp.,1.80M,-3.14%,1278163,7.17M
241,AGRI,AgriFORCE Growing Systems Ltd.,837.78K,-3.75%,648738,-
