,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
234,ACLS,"Axcelis Technologies, Inc.",3.67B,-0.52%,506271,1.13B
235,DOCN,"DigitalOcean Holdings, Inc.",3.64B,0.75%,651631,692.88M
236,SANM,Sanmina Corporation,3.62B,1.02%,246086,8.45B
237,BDC,Belden Inc.,3.61B,-0.15%,220066,2.51B
238,TSEM,Tower Semiconductor Ltd.,3.59B,0.92%,370225,1.42B
239,WOLF,"Wolfspeed, Inc.",3.53B,3.17%,3338045,870.30M
240,PYCR,"Paycor HCM, Inc.",3.50B,-1.22%,601520,604.65M
241,AYX,"Alteryx, Inc.",3.49B,-,1661524,970.00M
242,PWSC,"PowerSchool Holdings, Inc.",3.44B,0.73%,282632,697.65M
243,FORM,"FormFactor, Inc.",3.42B,0.70%,325781,663.10M
244,ACIW,"ACI Worldwide, Inc.",3.42B,0.16%,282394,1.45B
245,CAMT,Camtek Ltd.,3.38B,0.39%,269888,315.38M
246,CLSK,"CleanSpark, Inc.",3.35B,-2.48%,37218864,214.38M
247,RPD,"Rapid7, Inc.",3.35B,-0.99%,408909,777.71M
248,CRDO,Credo Technology Group Holding Ltd,3.34B,1.03%,1475895,164.28M
249,AUR,"Aurora Innovation, Inc.",3.33B,0.46%,5825801,-
250,RNG,"RingCentral, Inc.",3.31B,1.23%,951865,2.20B
251,NCNO,"nCino, Inc.",3.31B,1.70%,596826,462.03M
252,DIOD,Diodes Incorporated,3.30B,-1.42%,184124,1.66B
253,LPL,"LG Display Co., Ltd.",3.24B,1.47%,188214,16.47B
254,SPT,"Sprout Social, Inc.",3.24B,-3.00%,518321,333.64M
255,NVEI,Nuvei Corporation,3.24B,-0.86%,494841,1.19B
256,FLYW,Flywire Corporation,3.20B,1.58%,1233498,403.09M
257,VSH,"Vishay Intertechnology, Inc.",3.19B,0.26%,1394023,3.40B
258,LITE,Lumentum Holdings Inc.,3.16B,0.02%,727337,1.44B
259,PI,"Impinj, Inc.",3.16B,0.22%,458628,307.54M
260,RIOT,"Riot Blockchain, Inc.",3.13B,-1.36%,20777049,280.68M
261,MQ,"Marqeta, Inc.",3.11B,0.17%,3391343,676.17M
262,YOU,"Clear Secure, Inc.",3.07B,-1.99%,866324,613.58M
263,INST,"Instructure Holdings, Inc.",3.06B,2.14%,634810,530.21M
264,ENV,"Envestnet, Inc.",3.04B,-0.52%,295813,1.25B
265,SRAD,Sportradar Group AG,3.03B,-0.20%,157335,884.39M
266,QTWO,"Q2 Holdings, Inc.",2.89B,2.29%,908815,624.62M
267,KLIC,"Kulicke and Soffa Industries, Inc.",2.85B,0.04%,704582,737.45M
268,WNS,WNS (Holdings) Limited,2.69B,0.97%,127841,1.30B
269,RUN,Sunrun Inc.,2.65B,-10.94%,17218418,2.26B
270,AVDX,"AvidXchange Holdings, Inc.",2.64B,-0.15%,935134,380.72M
271,APPN,Appian Corporation,2.62B,-1.06%,264771,545.36M
272,INTA,"Intapp, Inc.",2.60B,-0.64%,578248,392.15M
273,PLXS,Plexus Corp.,2.58B,-0.39%,100092,4.10B
274,PAY,"Paymentus Holdings, Inc.",2.58B,14.94%,1389481,614.49M
275,ESE,ESCO Technologies Inc.,2.55B,-1.11%,79165,968.85M
276,EVTC,"EVERTEC, Inc.",2.46B,1.55%,372176,694.71M
277,VSAT,"Viasat, Inc.",2.45B,-4.55%,1219342,3.80B
278,NABL,"N-able, Inc.",2.44B,-0.30%,324386,421.88M
279,ODD,Oddity Tech Ltd.,2.41B,1.68%,802421,508.69M
280,TIXT,TELUS International (Cda) Inc.,2.40B,-2.77%,90778,2.71B
281,SIMO,Silicon Motion Technology Corporation,2.40B,0.89%,143110,945.92M
282,VIAV,Viavi Solutions Inc.,2.39B,0.56%,2024352,1.01B
283,PRGS,Progress Software Corporation,2.36B,-0.11%,237614,694.44M
284,SONO,"Sonos, Inc.",2.35B,-1.16%,1244809,1.60B
285,CALX,"Calix, Inc.",2.30B,-1.42%,796275,1.04B
286,JAMF,Jamf Holding Corp.,2.27B,0.84%,279163,560.57M
287,RAMP,"LiveRamp Holdings, Inc.",2.27B,0.29%,209551,636.44M
288,CLBT,Cellebrite DI Ltd.,2.26B,0.52%,1254444,325.11M
289,ALKT,"Alkami Technology, Inc.",2.25B,1.63%,219736,264.83M
290,AMBA,"Ambarella, Inc.",2.23B,0.13%,484786,258.18M
291,ZETA,Zeta Global Holdings Corp.,2.23B,0.39%,990259,728.72M
292,OSIS,"OSI Systems, Inc.",2.21B,1.52%,52842,1.37B
293,PLUS,ePlus inc.,2.20B,-0.59%,162691,2.16B
294,VYX,NCR Voyix Corporation,2.20B,2.76%,3767588,7.90B
295,ROG,Rogers Corporation,2.20B,-0.88%,147723,908.40M
