,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
144,RBBN,Ribbon Communications Inc.,494.97M,-0.35%,269701,826.34M
145,RSVR,"Reservoir Media, Inc.",477.75M,0.41%,21219,140.52M
146,FUBO,fuboTV Inc.,474.71M,-4.35%,13739903,1.37B
147,GDEV,GDEV Inc.,454.10M,-1.74%,978,-
148,MCS,The Marcus Corporation,453.00M,-0.42%,218591,729.58M
149,ZH,Zhihu Inc.,451.48M,3.09%,1435731,574.22M
150,CCG,Cheche Group Inc,421.86M,-3.60%,14705,-
151,EEX,"Emerald Holding, Inc.",375.66M,-1.18%,7641,382.80M
152,NCMI,"National CineMedia, Inc.",372.14M,0.65%,279803,166.10M
153,NEXN,Nexxen International Ltd.,365.54M,-0.60%,31492,331.99M
154,SSP,The E.W. Scripps Company,361.32M,-2.56%,630984,2.29B
155,TRUE,"TrueCar, Inc.",334.59M,-,139849,158.71M
156,CDLX,"Cardlytics, Inc.",333.27M,1.88%,421825,302.54M
157,JFIN,Jiayin Group Inc.,332.85M,4.19%,65590,676.85M
158,SOHU,Sohu.com Limited,326.91M,6.60%,68930,600.67M
159,DRCT,"Direct Digital Holdings, Inc.",315.09M,3.76%,75240,146.84M
160,GCI,"Gannett Co., Inc.",313.25M,-1.43%,316755,2.66B
161,WOW,"WideOpenWest, Inc.",289.79M,-1.42%,605591,698.40M
162,MYPS,"PLAYSTUDIOS, Inc.",287.48M,5.91%,614903,313.15M
163,CTV,Innovid Corp.,282.23M,-5.03%,781040,139.88M
164,IHRT,"iHeartMedia, Inc.",275.80M,0.91%,549549,3.75B
165,ADTH,"AdTheorent Holding Company, Inc.",243.55M,3.99%,170281,162.93M
166,DOYU,DouYu International Holdings Limited,243.03M,4.76%,1041734,813.69M
167,SIFY,Sify Technologies Limited,239.51M,2.27%,99124,421.93M
168,OOMA,"Ooma, Inc.",231.43M,-1.79%,34697,231.56M
169,HAO,Haoxi Health Technology Limited,229.54M,-0.28%,19002,28.23M
170,OB,Outbrain Inc.,202.60M,-3.63%,200831,935.82M
171,RDCM,RADCOM Ltd.,177.92M,2.09%,72185,51.60M
172,TRVG,trivago N.V.,176.99M,-0.39%,9494,538.92M
173,TSQ,"Townsquare Media, Inc.",175.76M,-1.14%,30724,459.72M
174,LVO,"LiveOne, Inc.",160.77M,1.92%,310502,113.09M
175,EVC,Entravision Communications Corporation,152.17M,-2.00%,1924724,1.08B
176,SKLZ,Skillz Inc.,150.56M,-0.14%,122738,163.66M
177,CXDO,"Crexendo, Inc.",147.72M,-1.78%,388068,53.20M
178,SGA,"Saga Communications, Inc.",144.45M,-0.81%,27079,113.75M
179,TZOO,Travelzoo,134.13M,0.83%,125612,81.94M
180,BRAG,Bragg Gaming Group Inc.,120.69M,-2.64%,8676,99.83M
181,UONE,"Urban One, Inc.",119.87M,-7.26%,86142,489.39M
182,FNGR,"FingerMotion, Inc.",119.28M,1.32%,102787,40.40M
183,HRYU,"Hanryu Holdings, Inc.",114.06M,-5.57%,158715,1.37M
184,GMGI,"Golden Matrix Group, Inc.",108.02M,-0.68%,15597,44.17M
185,XNET,Xunlei Limited,101.24M,3.90%,104855,383.51M
186,WIMI,WiMi Hologram Cloud Inc.,99.71M,-5.22%,407575,70.82M
187,KUKE,Kuke Music Holding Limited,79.15M,8.18%,2676,-
188,SCOR,"comScore, Inc.",78.94M,-2.34%,24301,374.48M
189,CMCM,Cheetah Mobile Inc.,77.20M,0.33%,14123,126.84M
190,GAIA,"Gaia, Inc.",74.19M,1.20%,8223,79.29M
191,MNY,MoneyHero Limited,66.67M,2.31%,122447,123.27M
192,MATH,Metalpha Technology Holding Limited,65.77M,-,24568,5.69M
193,BHAT,Blue Hat Interactive Entertainment Technology,65.41M,-2.68%,78547,51.69M
194,RDI,"Reading International, Inc.",64.33M,-1.10%,5107,224.63M
195,LEE,"Lee Enterprises, Incorporated",64.26M,-1.05%,16870,661.68M
196,KORE,"KORE Group Holdings, Inc.",63.43M,1.30%,47256,266.66M
197,INUV,"Inuvo, Inc.",62.94M,3.96%,432254,73.91M
198,CMLS,Cumulus Media Inc.,61.36M,3.53%,144413,844.55M
199,MCHX,"Marchex, Inc.",59.56M,-5.45%,93272,49.81M
200,UCL,uCloudlink Group Inc.,58.40M,10.83%,40872,27.28M
201,BZFD,"BuzzFeed, Inc.",57.48M,2.74%,2692227,352.98M
202,STCN,"Steel Connect, Inc.",56.72M,-1.01%,4202,179.07M
203,BODI,Beachbody Company Inc,55.60M,14.08%,98326,527.11M
204,HHS,"Harte Hanks, Inc.",53.55M,0.94%,5182,196.78M
205,ZDGE,"Zedge, Inc.",52.16M,11.76%,72006,27.42M
206,AREN,"The Arena Group Holdings, Inc.",51.88M,-3.98%,44267,214.52M
207,FLNT,"Fluent, Inc.",47.80M,-10.43%,259378,310.30M
208,SJ,Scienjoy Holding Corporation,44.73M,-0.95%,144432,216.01M
209,TOON,Kartoon Studios Inc.,43.27M,-1.41%,92384,54.35M
210,ABLV,Able View Inc.,42.85M,-,4952,226.92M
211,ICLK,iClick Interactive Asia Group Limited,38.12M,1.04%,17785,150.76M
212,PODC,PodcastOne Inc,38.05M,1.61%,45043,-
213,LPTV,"Loop Media, Inc.",37.48M,7.06%,65496,26.99M
214,SNAL,"Snail, Inc.",37.38M,-0.99%,6818,47.64M
215,AGAE,Allied Gaming & Entertainment Inc.,35.37M,-2.08%,19294,6.80M
216,IZEA,"IZEA Worldwide, Inc.",29.98M,3.63%,125754,36.12M
217,CURI,CuriosityStream Inc.,29.19M,-,70389,56.61M
218,MMV,MultiMetaVerse Holdings Limited,28.43M,-3.86%,32487,9.79M
219,NCTY,The9 Limited,27.60M,0.34%,29525,-
220,ANGH,Anghami Inc.,26.27M,5.26%,50001,46.25M
221,STBX,Starbox Group Holdings Ltd.,26.24M,-2.66%,73123,11.74M
222,BBGI,"Beasley Broadcast Group, Inc.",24.73M,-2.66%,7067,247.11M
223,DLPN,"Dolphin Entertainment, Inc.",24.67M,-2.21%,7032,42.24M
224,GAME,GameSquare Holdings Inc,23.90M,-19.89%,177101,-
225,FENG,Phoenix New Media Limited,23.87M,-1.52%,3569,96.85M
226,HOFV,Hall of Fame Resort & Entertainment Company,22.75M,0.14%,16889,20.52M
227,DALN,DallasNews Corporation,20.61M,-0.52%,10341,139.70M
228,TRUG,Trugolf Inc,19.10M,-1.38%,22961,13.79M
229,BREA,Brera Holdings PLC,18.83M,-18.67%,294199,120.79K
230,SOGP,Sound Group Inc,18.50M,1.08%,59418,307.65M
231,CHR,"Cheer Holding, Inc.",17.80M,3.07%,3806,154.58M
232,CNVS,Cineverse Corp.,17.06M,3.13%,74049,51.82M
233,ANTE,AirNet Technology Inc.,15.79M,-11.89%,28357,918.00K
234,EDUC,Educational Development Corporation,15.09M,1.46%,81848,57.04M
235,KRKR,36Kr Holdings Inc.,14.81M,4.54%,41607,45.86M
236,FAZE,FaZe Holdings Inc.,14.12M,-,1891,58.15M
237,GIGM,GigaMedia Limited,13.87M,-0.40%,33114,4.52M
238,LKCO,Luokung Technology Corp.,13.31M,1.35%,58812,36.98M
239,MDIA,MediaCo Holding Inc.,12.94M,1.41%,3162,24.95M
240,UPXI,"Upexi, Inc.",11.70M,-10.71%,58343,91.21M
241,GDC,GD Culture Group Limited,9.78M,-5.39%,39596,435.48K
242,MIMO,Airspan Networks Holdings Inc.,9.70M,1.54%,429359,112.81M
243,VSME,VS Media Holdings Limited,9.22M,2.20%,75154,9.03M
244,LDWY,"Lendway, Inc.",8.29M,-1.53%,1921,23.57M
245,ASST,Asset Entities Inc.,8.08M,-2.27%,91911,259.15K
246,SLE,"Super League Enterprise, Inc.",7.75M,-5.61%,50905,22.69M
247,LCFY,Locafy Limited,7.65M,0.58%,2935,-
248,CPOP,"Pop Culture Group Co., Ltd",7.50M,-9.69%,70889,18.54M
249,CNET,ZW Data Action Technologies Inc.,6.88M,-0.01%,5408,29.74M
250,MSGM,Motorsport Games Inc.,5.99M,-2.27%,18965,8.93M
251,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",5.59M,0.81%,228470,368.81M
252,BAOS,Baosheng Media Group Holdings Limited,5.45M,5.10%,24527,3.46M
253,MGOL,MGO Global Inc.,5.39M,0.47%,38205,4.47M
254,GXAI,Gaxos.ai Inc.,5.32M,-11.33%,132509,-
255,ADD,"Color Star Technology Co., Ltd.",5.11M,6.36%,149036,-
256,MGAM,Mobile Global Esports Inc.,4.64M,-0.52%,36184,-
257,TC,TuanChe Limited,3.10M,-2.19%,9031,25.71M
258,ONFO,"Onfolio Holdings, Inc.",2.43M,-7.31%,22808,5.10M
259,GROM,"Grom Social Enterprises, Inc.",2.13M,-,371382,4.70M
