,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
147,DMLP,"Dorchester Minerals, L.P.",1.25B,0.90%,42306,163.80M
148,ACDC,ProFrac Holding Corp.,1.24B,1.41%,688596,2.93B
149,CLMT,"Calumet Specialty Products Partners, L.P.",1.18B,-0.13%,115295,4.18B
150,NRP,Natural Resource Partners L.P.,1.14B,-4.48%,43547,370.01M
151,NVGS,Navigator Holdings Ltd.,1.12B,0.66%,123030,532.39M
152,MRC,MRC Global Inc.,1.02B,0.25%,173890,3.41B
153,WTTR,"Select Energy Services, Inc.",1.01B,0.71%,1287797,1.59B
154,UUUU,Energy Fuels Inc.,1.00B,-0.16%,1847444,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",935.49M,-0.17%,614105,1.55B
156,PDS,Precision Drilling Corporation,903.18M,-1.55%,49777,1.46B
157,SBR,Sabine Royalty Trust,891.38M,1.99%,26804,93.01M
158,CAPL,CrossAmerica Partners LP,833.34M,-0.59%,15518,4.39B
159,PUMP,ProPetro Holding Corp.,807.98M,0.82%,1222356,1.63B
160,NBR,Nabors Industries Ltd.,799.91M,-2.19%,181746,3.05B
161,SBOW,"SilverBow Resources, Inc.",794.04M,1.21%,299120,652.36M
162,DRQ,"Dril-Quip, Inc.",790.83M,-0.61%,111196,424.06M
163,NGL,NGL Energy Partners LP,770.10M,-1.02%,198094,7.38B
164,TELL,Tellurian Inc.,768.31M,-11.97%,63547039,166.13M
165,EFXT,Enerflex Ltd.,767.29M,-0.67%,26129,2.38B
166,CLB,Core Laboratories N.V.,756.90M,-1.11%,142574,509.79M
167,EU,enCore Energy Corp.,756.47M,3.76%,792470,-
168,VTOL,Bristow Group Inc.,728.31M,0.55%,68779,1.30B
169,TNP,Tsakos Energy Navigation Limited,701.64M,0.72%,250936,860.40M
170,VTS,"Vitesse Energy, Inc.",690.40M,-0.04%,157103,233.91M
171,NOA,North American Construction Group Ltd.,676.72M,-0.55%,65509,640.25M
172,TK,Teekay Corporation,650.69M,-0.70%,290916,1.52B
