,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
147,CPRI,Capri Holdings Limited,5.42B,0.73%,418460,5.28B
148,SEE,Sealed Air Corporation,5.40B,-1.90%,1101074,5.49B
149,HOG,"Harley-Davidson, Inc.",5.33B,2.64%,2215853,5.84B
150,LOT,Lotus Technology Inc.,5.28B,-6.33%,318103,139.59M
151,KBH,KB Home,5.27B,0.38%,818421,6.41B
152,PII,Polaris Inc.,5.23B,-0.54%,391204,8.93B
153,RH,RH,5.13B,1.92%,405253,3.06B
154,ASO,"Academy Sports and Outdoors, Inc.",5.07B,-1.67%,1079152,6.11B
155,IGT,International Game Technology PLC,5.04B,-6.24%,2007083,4.55B
156,SLGN,Silgan Holdings Inc.,4.79B,-0.96%,419460,5.99B
157,HGV,Hilton Grand Vacations Inc.,4.78B,-0.44%,554243,3.98B
158,SKY,Skyline Champion Corporation,4.78B,-0.01%,123580,1.98B
159,COLM,Columbia Sportswear Company,4.77B,0.38%,369639,3.49B
160,DOOO,BRP Inc.,4.72B,-0.53%,88913,7.85B
161,MDC,"M.D.C. Holdings, Inc.",4.70B,0.03%,1126972,4.64B
162,AAP,"Advance Auto Parts, Inc.",4.51B,3.58%,4488642,11.30B
163,GME,GameStop Corp.,4.41B,2.01%,2361834,5.71B
164,AEO,"American Eagle Outfitters, Inc.",4.39B,-0.71%,4341816,5.08B
165,ABG,"Asbury Automotive Group, Inc.",4.30B,0.17%,106100,14.80B
166,SIG,Signet Jewelers Limited,4.26B,0.96%,422813,7.34B
167,MOD,Modine Manufacturing Company,4.24B,4.51%,952921,2.42B
168,SHAK,Shake Shack Inc.,4.20B,2.35%,800715,1.09B
169,GOLF,Acushnet Holdings Corp.,4.00B,-1.19%,271587,2.38B
170,WEN,The Wendy's Company,3.79B,-0.33%,1732551,2.18B
171,URBN,"Urban Outfitters, Inc.",3.78B,-0.29%,1209169,5.05B
172,RUSHA,"Rush Enterprises, Inc.",3.73B,0.82%,145127,7.93B
173,RUSHB,"Rush Enterprises, Inc.",3.73B,1.24%,15617,7.93B
174,TRIP,"Tripadvisor, Inc.",3.67B,0.60%,1442329,1.79B
175,GPI,"Group 1 Automotive, Inc.",3.62B,0.25%,103168,17.87B
176,ZGN,Ermenegildo Zegna N.V.,3.61B,1.52%,624127,1.83B
177,GT,The Goodyear Tire & Rubber Company,3.60B,0.64%,3132481,20.07B
178,DFH,"Dream Finders Homes, Inc.",3.56B,4.56%,449267,3.75B
179,UAA,"Under Armour, Inc.",3.54B,-2.53%,5622896,5.77B
180,UA,"Under Armour, Inc.",3.53B,-1.77%,3113207,5.77B
181,MHO,"M/I Homes, Inc.",3.53B,1.07%,154799,4.03B
182,PSNY,Polestar Automotive Holding UK PLC,3.50B,0.60%,1659902,2.83B
183,KTB,"Kontoor Brands, Inc.",3.38B,-0.38%,549466,2.61B
184,YETI,"YETI Holdings, Inc.",3.35B,-1.77%,1533735,1.66B
185,VAC,Marriott Vacations Worldwide Corporation,3.32B,1.24%,437580,4.73B
186,PRKS,United Parks & Resorts Inc.,3.30B,-1.00%,438627,1.73B
187,TPH,"Tri Pointe Homes, Inc.",3.27B,0.50%,978066,3.72B
188,ADNT,Adient plc,3.23B,-2.41%,960448,15.36B
189,TNL,Travel + Leisure Co.,3.22B,-0.35%,364646,3.75B
190,VC,Visteon Corporation,3.20B,0.66%,225719,3.95B
191,MLCO,Melco Resorts & Entertainment Limited,3.19B,2.74%,3279938,3.78B
192,SVV,"Savers Value Village, Inc.",3.18B,-0.15%,856436,1.50B
193,GEF.B,"Greif, Inc.",3.14B,-1.39%,6913,5.15B
194,GEF,"Greif, Inc.",3.11B,-1.73%,111121,5.15B
195,CVCO,"Cavco Industries, Inc.",3.09B,0.33%,55203,1.85B
196,CRI,"Carter's, Inc.",3.08B,1.05%,704405,2.95B
197,SHOO,"Steven Madden, Ltd.",3.06B,1.02%,815492,1.98B
198,KSS,Kohl's Corporation,3.02B,-6.73%,12467766,17.54B
199,QS,QuantumScape Corporation,2.98B,-1.16%,4255057,-
200,AIN,Albany International Corp.,2.96B,-1.73%,64352,1.15B
201,LCII,LCI Industries,2.93B,-3.24%,275012,3.78B
202,LTH,"Life Time Group Holdings, Inc.",2.90B,-1.83%,680752,2.22B
203,PENN,"PENN Entertainment, Inc.",2.86B,1.97%,3769965,6.36B
204,JWN,"Nordstrom, Inc.",2.84B,1.77%,4181920,14.59B
205,DORM,"Dorman Products, Inc.",2.83B,-0.36%,86594,1.93B
206,ACVA,ACV Auctions Inc.,2.83B,2.15%,682607,481.23M
207,VSTS,Vestis Corporation,2.80B,-0.53%,638750,-
208,CCS,"Century Communities, Inc.",2.78B,1.66%,341168,3.69B
209,LEG,"Leggett & Platt, Incorporated",2.77B,-6.29%,3354911,4.73B
210,BOOT,"Boot Barn Holdings, Inc.",2.66B,-2.22%,512486,1.70B
211,LGIH,"LGI Homes, Inc.",2.64B,-0.28%,96781,2.36B
212,ZKH,ZKH Group Limited,2.63B,9.77%,53674,1.16B
213,BLMN,"Bloomin' Brands, Inc.",2.59B,0.21%,1701696,4.67B
214,MODG,Topgolf Callaway Brands Corp.,2.59B,-0.57%,2163083,4.28B
215,ATAT,Atour Lifestyle Holdings Limited,2.57B,3.15%,353119,520.90M
216,OI,"O-I Glass, Inc.",2.55B,-3.20%,1299067,7.11B
217,PATK,"Patrick Industries, Inc.",2.50B,-2.43%,284246,3.47B
218,FTDR,"Frontdoor, Inc.",2.48B,0.03%,625889,1.78B
219,DRVN,Driven Brands Holdings Inc.,2.44B,-1.28%,651376,2.30B
220,ARCO,Arcos Dorados Holdings Inc.,2.43B,3.64%,1359891,4.18B
221,MCW,"Mister Car Wash, Inc.",2.42B,1.69%,1196752,927.07M
222,PTVE,Pactiv Evergreen Inc.,2.36B,-0.45%,248250,5.51B
223,GRBK,"Green Brick Partners, Inc.",2.34B,2.18%,183115,1.78B
224,PZZA,"Papa John's International, Inc.",2.32B,2.33%,421905,2.14B
225,FL,"Foot Locker, Inc.",2.28B,0.79%,2676585,8.13B
226,GTX,Garrett Motion Inc.,2.26B,0.21%,571872,3.89B
227,MBC,"MasterBrand, Inc.",2.24B,0.68%,643363,2.73B
228,SIX,Six Flags Entertainment Corporation,2.18B,-0.73%,637357,1.43B
229,FOXF,Fox Factory Holding Corp.,2.17B,-2.05%,389369,1.46B
230,FUN,"Cedar Fair, L.P.",2.17B,-0.05%,153691,1.80B
231,MLKN,"MillerKnoll, Inc.",2.16B,0.03%,588403,3.81B
232,SG,"Sweetgreen, Inc.",2.14B,4.49%,2708214,584.04M
233,EAT,"Brinker International, Inc.",2.12B,1.54%,735825,4.25B
234,ARHS,"Arhaus, Inc.",2.11B,0.73%,992156,1.29B
