,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
146,WTS,"Watts Water Technologies, Inc.",6.82B,-0.30%,120546,2.06B
147,IBP,"Installed Building Products, Inc.",6.75B,1.63%,138175,2.78B
148,LSTR,"Landstar System, Inc.",6.72B,-0.14%,214674,5.30B
149,AAON,"AAON, Inc.",6.50B,0.33%,331576,1.17B
150,FLR,Fluor Corporation,6.47B,1.21%,727806,15.47B
151,CR,Crane Company,6.42B,1.30%,175597,2.42B
152,HXL,Hexcel Corporation,6.41B,-2.14%,477635,1.79B
153,ATI,ATI Inc.,6.31B,-2.27%,1747162,4.17B
154,CAE,CAE Inc.,6.30B,0.15%,579562,3.38B
155,TNET,"TriNet Group, Inc.",6.23B,1.25%,134884,4.92B
156,ATKR,Atkore Inc.,6.18B,1.42%,287357,3.48B
157,GTLS,"Chart Industries, Inc.",6.13B,-0.47%,286360,3.35B
158,ADT,ADT Inc.,6.03B,0.76%,8113739,4.98B
159,TKR,The Timken Company,6.02B,0.85%,413671,4.77B
160,DRS,"Leonardo DRS, Inc.",5.99B,0.83%,464746,2.83B
161,ESAB,ESAB Corporation,5.96B,0.85%,188487,2.77B
162,MLI,"Mueller Industries, Inc.",5.90B,-0.17%,465221,3.42B
163,GXO,"GXO Logistics, Inc.",5.87B,-0.81%,647772,9.78B
164,FLS,Flowserve Corporation,5.76B,0.05%,806728,4.32B
165,FTAI,FTAI Aviation Ltd,5.74B,2.31%,389514,1.17B
166,MSM,"MSC Industrial Direct Co., Inc.",5.58B,0.07%,207639,4.01B
167,LPX,Louisiana-Pacific Corporation,5.52B,0.16%,802169,2.58B
168,BECN,"Beacon Roofing Supply, Inc.",5.45B,1.16%,286173,9.12B
169,ZWS,Zurn Elkay Water Solutions Corporation,5.42B,0.76%,542336,1.53B
170,CWST,"Casella Waste Systems, Inc.",5.41B,0.05%,187242,1.26B
171,AWI,"Armstrong World Industries, Inc.",5.29B,0.87%,214188,1.30B
172,SPXC,"SPX Technologies, Inc.",5.28B,1.11%,176908,1.74B
173,MMS,"Maximus, Inc.",5.22B,0.53%,168366,4.98B
174,KEX,Kirby Corporation,5.15B,1.34%,333858,3.09B
